City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,9.06,43,20,13.89,CL,1670348075
1,victoria,22.2855,114.1577,17.92,77,16,2.68,HK,1670347949
2,wairoa,-39.0333,177.3667,15.31,79,100,2.68,NZ,1670348076
3,horsham,51.064,-0.3272,5.57,81,20,2.57,GB,1670348076
4,den helder,52.9599,4.7593,7.21,83,75,4.02,NL,1670347982
5,bredasdorp,-34.5322,20.0403,17.68,59,5,2.27,ZA,1670348077
6,pacific grove,36.6177,-121.9166,10.23,90,40,3.58,US,1670348077
7,mataura,-46.1927,168.8643,4.98,81,3,2.35,NZ,1670348077
8,ushuaia,-54.8,-68.3,5.79,75,75,10.8,AR,1670348078
9,vaini,-21.2,-175.2,25.09,94,75,3.09,TO,1670348078
10,albany,42.6001,-73.9662,10.13,85,100,0.89,US,1670348011
11,nanortalik,60.1432,-45.2371,2.15,98,100,2.45,GL,1670348079
12,kangaatsiaq,68.3065,-53.4641,-0.66,83,95,12.54,GL,1670348079
13,broken hill,-31.95,141.4333,23.32,32,100,3.62,AU,1670348080
14,rikitea,-23.1203,-134.9692,23.81,74,17,6.64,PF,1670348080
15,trairi,-3.2778,-39.2689,29.85,54,57,7.0,BR,1670347809
16,barrow,71.2906,-156.7887,-10.99,92,0,8.75,US,1670347925
17,puerto ayora,-0.7393,-90.3518,24.98,85,85,2.68,EC,1670347870
18,egvekinot,66.3167,-179.1667,-9.35,90,99,3.7,RU,1670348081
19,gejiu,23.306,103.1635,7.8,96,68,1.96,CN,1670348081
20,olinda,-8.0089,-34.8553,28.85,61,40,3.6,BR,1670348082
21,kawalu,-7.3817,108.2082,22.73,97,100,0.08,ID,1670348082
22,menongue,-14.6585,17.691,17.97,76,99,2.82,AO,1670348083
23,nemuro,43.3236,145.575,2.16,77,100,3.3,JP,1670348083
24,cabo san lucas,22.8909,-109.9124,29.47,61,0,2.06,MX,1670348084
25,mehamn,71.0357,27.8492,1.97,87,75,5.66,NO,1670348084
26,port alfred,-33.5906,26.891,19.54,84,9,1.34,ZA,1670348084
27,hermanus,-34.4187,19.2345,19.33,59,17,0.87,ZA,1670348085
28,tuktoyaktuk,69.4541,-133.0374,-27.0,69,40,7.2,CA,1670348085
29,tarn taran,31.45,74.9253,13.01,35,0,2.39,IN,1670348086
30,pisco,-13.7,-76.2167,22.23,70,29,4.37,PE,1670348086
31,khatanga,71.9667,102.5,-18.36,95,100,6.61,RU,1670348086
32,saint-georges,12.0564,-61.7485,28.82,65,20,3.6,GD,1670348087
33,zelenets,61.8849,50.7489,-15.86,87,84,3.83,RU,1670348087
34,sydney,-33.8679,151.2073,15.76,88,33,0.89,AU,1670347882
35,concepcion,-36.827,-73.0498,21.89,60,0,5.66,CL,1670347970
36,tahe,52.3333,124.7333,-20.61,99,98,1.07,CN,1670348088
37,jamestown,42.097,-79.2353,6.68,70,100,3.09,US,1670347937
38,busselton,-33.65,115.3333,11.98,84,31,6.51,AU,1670348089
39,gistrup,56.9943,9.9909,1.06,90,100,1.03,DK,1670348058
40,yellowknife,62.456,-114.3525,-36.36,74,20,1.03,CA,1670348089
41,bambous virieux,-20.3428,57.7575,25.14,83,40,5.14,MU,1670348089
42,cape town,-33.9258,18.4232,21.72,48,0,6.17,ZA,1670348084
43,hamilton,39.1834,-84.5333,11.11,96,100,2.06,US,1670347831
44,esperance,-33.8667,121.9,14.83,74,51,7.11,AU,1670348090
45,sakakah,29.9697,40.2064,17.76,56,0,3.62,SA,1670348091
46,dutse,11.7594,9.3392,25.48,21,66,4.03,NG,1670348091
47,shihezi,44.3,86.0333,-10.97,89,70,2.1,CN,1670348091
48,hobart,-42.8794,147.3294,7.92,86,75,5.14,AU,1670348092
49,carnarvon,-24.8667,113.6333,20.79,80,6,6.8,AU,1670348092
50,nome,64.5011,-165.4064,-3.24,93,100,0.0,US,1670348093
51,bull savanna,17.8868,-77.5902,28.32,52,1,4.51,JM,1670348093
52,svetlaya,46.5389,138.3297,-8.92,67,45,4.67,RU,1670348094
53,aberystwyth,52.4155,-4.0829,1.05,82,29,2.76,GB,1670348094
54,christchurch,-43.5333,172.6333,11.06,78,100,2.06,NZ,1670347828
55,shuiji,27.4214,118.345,9.94,94,100,0.77,CN,1670348095
56,souillac,-20.5167,57.5167,25.21,83,40,5.14,MU,1670348095
57,atuona,-9.8,-139.0333,25.03,77,46,6.38,PF,1670348096
58,douglas,41.3,-96.167,2.14,62,0,2.57,US,1670348096
59,belyy yar,53.6039,91.3903,-27.06,69,100,0.0,RU,1670348097
60,batie,9.8833,-2.9167,31.94,16,5,1.84,BF,1670348097
61,hithadhoo,-0.6,73.0833,27.85,74,12,5.74,MV,1670348097
62,sisimiut,66.9395,-53.6735,-1.0,79,88,13.39,GL,1670348098
63,kattivakkam,13.2167,80.3167,26.05,70,100,6.28,IN,1670348099
64,atbasar,51.8,68.3333,-25.7,100,38,2.2,KZ,1670348099
65,bethel,41.3712,-73.414,13.2,79,100,0.0,US,1670348100
66,qaanaaq,77.484,-69.3632,-2.61,71,100,4.5,GL,1670348100
67,saint-augustin,51.226,-58.6502,-0.64,83,100,2.6,CA,1670347838
68,berbera,10.4396,45.0143,24.77,70,22,3.6,SO,1670348100
69,hambantota,6.1241,81.1185,25.76,81,100,2.77,LK,1670348101
70,moyale,3.5167,39.0584,21.55,55,60,1.36,KE,1670348101
71,datong,40.0936,113.2914,-7.2,32,0,0.71,CN,1670348102
72,ugra,54.7777,34.3267,-7.07,74,99,4.37,RU,1670348102
73,odweyne,9.4092,45.064,20.36,58,43,1.95,SO,1670348103
74,umarkhed,19.6,77.7,19.82,56,4,0.81,IN,1670347850
75,gordeyevka,52.9569,31.9703,-8.02,78,71,5.47,RU,1670348104
76,shima,24.4478,117.8111,17.01,75,61,1.44,CN,1670348104
77,fort frances,48.5999,-93.4003,-16.64,81,100,2.57,CA,1670347960
78,quelimane,-17.8786,36.8883,27.97,83,40,6.17,MZ,1670348105
79,arraial do cabo,-22.9661,-42.0278,24.98,83,75,4.12,BR,1670348105
80,mitsamiouli,-11.3847,43.2844,26.81,78,18,4.97,KM,1670348106
81,castro,-24.7911,-50.0119,24.13,77,47,3.99,BR,1670348106
82,rypefjord,70.6333,23.6667,-1.74,80,40,0.0,NO,1670348107
83,kapaa,22.0752,-159.319,25.18,92,40,3.6,US,1670348107
84,nantucket,41.2835,-70.0995,13.08,76,0,8.23,US,1670348108
85,dikson,73.5069,80.5464,-15.98,96,72,3.89,RU,1670348108
86,alyangula,-13.8483,136.4192,28.33,70,83,4.11,AU,1670348109
87,bandarbeyla,9.4942,50.8122,25.4,70,69,7.2,SO,1670348110
88,kleive,62.7954,7.6359,-0.82,93,100,3.09,NO,1670348110
89,yeppoon,-23.1333,150.7333,21.88,82,0,0.98,AU,1670348110
90,mar del plata,-38.0023,-57.5575,33.79,52,0,5.66,AR,1670348111
91,clyde river,70.4692,-68.5914,-9.87,92,20,3.6,CA,1670348111
92,oistins,13.0667,-59.5333,29.05,58,20,3.6,BB,1670347850
93,upernavik,72.7868,-56.1549,-2.64,82,100,3.35,GL,1670348112
94,east london,-33.0153,27.9116,19.52,77,20,3.6,ZA,1670348113
95,avarua,-21.2078,-159.775,24.03,94,75,5.66,CK,1670348113
96,muros,42.7762,-9.0603,13.94,85,97,1.31,ES,1670348114
97,srednekolymsk,67.45,153.6833,-32.63,98,100,4.62,RU,1670348114
